,Provinsi,Buah,Produksi,Tahun
473,NUSA TENGGARA TIMUR,Pisang,108298.0,2015
474,KALIMANTAN BARAT,Pisang,144734.0,2015
475,KALIMANTAN TENGAH,Pisang,27163.0,2015
476,KALIMANTAN SELATAN,Pisang,79494.0,2015
477,KALIMANTAN TIMUR,Pisang,72144.0,2015
478,KALIMANTAN UTARA,Pisang,12129.0,2015
479,SULAWESI UTARA,Pisang,29142.0,2015
480,SULAWESI TENGAH,Pisang,27453.0,2015
481,SULAWESI SELATAN,Pisang,175388.0,2015
482,SULAWESI TENGGARA,Pisang,29087.0,2015
483,GORONTALO,Pisang,9995.0,2015
484,SULAWESI BARAT,Pisang,28493.0,2015
485,MALUKU,Pisang,52477.0,2015
486,MALUKU UTARA,Pisang,7270.0,2015
487,PAPUA BARAT,Pisang,2091.0,2015
488,PAPUA,Pisang,1665.0,2015
489,INDONESIA,Pisang,7299275.0,2015
490,ACEH,Rambutan,14457.0,2015
491,SUMATERA UTARA,Rambutan,24953.0,2015
492,SUMATERA BARAT,Rambutan,17527.0,2015
493,RIAU,Rambutan,9960.0,2015
494,JAMBI,Rambutan,7841.0,2015
495,SUMATERA SELATAN,Rambutan,18890.0,2015
496,BENGKULU,Rambutan,5091.0,2015
497,LAMPUNG,Rambutan,36923.0,2015
498,KEP. BANGKA BELITUNG,Rambutan,4332.0,2015
499,KEP. RIAU,Rambutan,5319.0,2015
500,DKI JAKARTA,Rambutan,1853.0,2015
501,JAWA BARAT,Rambutan,169825.0,2015
502,JAWA TENGAH,Rambutan,150519.0,2015
503,DI YOGYAKARTA,Rambutan,24542.0,2015
504,JAWA TIMUR,Rambutan,149148.0,2015
505,BANTEN,Rambutan,35637.0,2015
506,BALI,Rambutan,20702.0,2015
507,NUSA TENGGARA BARAT,Rambutan,16103.0,2015
508,NUSA TENGGARA TIMUR,Rambutan,4588.0,2015
509,KALIMANTAN BARAT,Rambutan,10044.0,2015
510,KALIMANTAN TENGAH,Rambutan,14543.0,2015
511,KALIMANTAN SELATAN,Rambutan,34221.0,2015
512,KALIMANTAN TIMUR,Rambutan,19291.0,2015
513,KALIMANTAN UTARA,Rambutan,1221.0,2015
514,SULAWESI UTARA,Rambutan,4481.0,2015
515,SULAWESI TENGAH,Rambutan,6465.0,2015
516,SULAWESI SELATAN,Rambutan,53419.0,2015
517,SULAWESI TENGGARA,Rambutan,11621.0,2015
518,GORONTALO,Rambutan,562.0,2015
519,SULAWESI BARAT,Rambutan,4263.0,2015
520,MALUKU,Rambutan,1264.0,2015
521,MALUKU UTARA,Rambutan,1981.0,2015
522,PAPUA BARAT,Rambutan,642.0,2015
523,PAPUA,Rambutan,400.0,2015
524,INDONESIA,Rambutan,882628.0,2015
525,ACEH,Salak,179.0,2015
526,SUMATERA UTARA,Salak,192585.0,2015
527,SUMATERA BARAT,Salak,1766.0,2015
528,RIAU,Salak,1569.0,2015
529,JAMBI,Salak,864.0,2015
530,SUMATERA SELATAN,Salak,1251.0,2015
531,BENGKULU,Salak,1588.0,2015
532,LAMPUNG,Salak,3984.0,2015
533,KEP. BANGKA BELITUNG,Salak,1417.0,2015
534,KEP. RIAU,Salak,694.0,2015
535,DKI JAKARTA,Salak,436.0,2015
536,JAWA BARAT,Salak,56981.0,2015
537,JAWA TENGAH,Salak,471463.0,2015
